registerAlias,fieldName,descripton,positionStart,positionEnd,positionLength,picture,defaultValue
PIX-DET-REM,VALORORIGINAL,VALOR ORIGINAL DO DOCUMENTO,187,203,17,V2,
PIX-DET-REM,TIPODEPESSOADEVEDOR,TIPO DE PESSOA DEVEDOR,204,205,2,9,
PIX-DET-REM,CPFCNPJDEVEDOR,CPF CNPJ DO USUÁRIO DEVEDOR,206,219,14,9,
PIX-DET-REM,NOMEDEVEDOR,NOME USUÁRIO DEVEDOR,220,359,140,X,
PIX-DET-REM,SOLICITACAOAOPAGADOROUCAMPOTEXTOLIVRE,SOLICITAÇÃO AO PAGADOR (DINÂMICO) OU CAMPO TEXTO LIVRE PARA ESTÁTICO,360,499,140,X,
PIX-DET-REM,EXCLUSIVOPSPRECEBEDOR,EXCLUSIVO PSP RECEBEDOR,500,559,60,X,
PIX-DET-REM,BRANCOS,BRANCOS,560,744,185,X,
PIX-DET-REM,NUMEROSEQUENCIAL,NÚMERO SEQUENCIALL DO REGISTRO,745,750,6,9,
PIX-ADD-REM,TIPODEREGISTRO,IDENTIFICAÇÃO DO REGISTRO TRANSAÇÃO,1,1,1,9,2
PIX-ADD-REM,IDENTIFICADOR,TRANSACTION ID (TXID),2,36,35,X,
PIX-ADD-REM,NOME1,NOME DO CAMPO,37,86,50,X,
PIX-ADD-REM,VALOR1,CONTEÚDO DO CAMPO,87,286,200,X,
PIX-ADD-REM,NOME2,NOME DO CAMPO,287,336,50,X,
PIX-ADD-REM,VALOR2,CONTEÚDO DO CAMPO,337,536,200,X,
PIX-ADD-REM,BRANCOS,BRANCOS,537,744,208,X,
PIX-ADD-REM,NUMEROSEQUENCIAL,NÚMERO SEQUENCIAL DO REGISTRO,745,750,6,9,
PIX-VEC-REM,TIPODEREGISTRO,IDENTIFICAÇÃO DO REGISTRO TRANSAÇÃO,1,1,1,9,3
PIX-VEC-REM,IDENTIFICADOR,TRANSACTION ID (TXID),2,36,35,X,
PIX-VEC-REM,EMAILDODEVEDOR,EMAIL DO DEVEDOR,37,113,77,X,
PIX-VEC-REM,LOGRADOURODODEVEDOR,LOGRADOURO DO DEVEDOR,114,313,200,X,
PIX-VEC-REM,CIDADEDODEVEDOR,CIDADE DO DEVEDOR,314,513,200,X,
PIX-VEC-REM,ESTADODODEVEDOR,ESTADO DO DEVEDOR (UF),514,515,2,X,
PIX-VEC-REM,CEPDODEVEDOR,CEP DO DEVEDOR,516,523,8,X,
PIX-VEC-REM,MODALIDADEDEABATIMENTO, MODALIDADE DO ABATIMENTO,524,524,1,9,
PIX-VEC-REM,VALORABATIMENTO,VALOR ABATIMENTO,525,541,17,V2,
PIX-VEC-REM,MODALIDADEDESCONTO,MODALIDADE DO DESCONTO,524,524,1,9,
PIX-VEC-REM,DATADEDESCONTO1,DATA DE DESCONTO 1,543,550,8,9,
PIX-VEC-REM,VALORDESCONTO1,VALOR DESCONTO 1,551,567,17,V2,
PIX-VEC-REM,DATADEDESCONTO2,DATA DE DESCONTO 2,568,575,8,9,
PIX-VEC-REM,VALORDESCONTO2,VALOR DESCONTO 2,576,592,17,V2,
PIX-VEC-REM,DATADEDESCONTO3,DATA DE DESCONTO 3,593,600,8,9,
PIX-VEC-REM,VALORDESCONTO3,VALOR DESCONTO 3,501,617,17,V2,
PIX-VEC-REM,MODALIDADEJUROS,MODALIDADE DE JUROS,618,618,1,9,
PIX-VEC-REM,VALORJUROS,VALOR DO JUROS,619,635,17,V2,
PIX-VEC-REM,MODALIDADEMULTA,MODALIDADE DE MULTA,636,636,1,9,
PIX-VEC-REM,VALORMULTA,VALOR DE MULTA,637,653,17,V2,
PIX-VEC-REM,BRANCOS,BRANCOS,654,744,91,X,
PIX-VEC-REM,NUMEROSEQUENCIALDOREGISTRO,NÚMERO SEQUENCIAL DO REGISTRO,745,750,6,9,
PIX-TRA-REM,TIPODEREGISTRO,IDENTIFICAÇÃO DO REGISTRO TRAILER,1,1,1,9,9
PIX-TRA-REM,BRANCOS,BRANCOS,2,712,711,X,
PIX-TRA-REM,VALORTOTAL,VALOR TOTAL DOS REGISTROS,713,729,17,V2,
PIX-TRA-REM,QTDEDEREGISTROS,QUANTIDADE DE REGISTROS,730,744,15,9,
PIX-TRA-REM,NUMEROSEQUENCIAL,NÚMERO SEQÜENCIAL DO REGISTRO NO ARQUIVO,745,750,6,9,
PIX-HED-RET,TIPODEREGISTRO,IDENTIFICAÇÃO DO REGISTRO HEADER,1,1,1,9,0
PIX-HED-RET,CODIGODERETORNO,IDENTIFICAÇÃO DO ARQUIVO RETORNO,2,2,1,9,2
PIX-HED-RET,LITERALDERETORNO,IDENTIFICAÇÃO POR EXTENSO DO TIPO DE MOVIMENTO,3,9,7,X,RETORNO
PIX-HED-RET,CODIGODOSERVICO,IDENTIFICAÇÃO DO TIPO DE SERVIÇO,10,11,2,9,02
PIX-HED-RET,LITERALDESERVICO,IDENTIFICAÇÃO POR EXTENSO DO TIPO DE SERVIÇO,12,26,15,X,PIX
PIX-HED-RET,ISPBPARTICIPANTE,PSP DO USUARIO RECEBEDOR,27,34,8,X,
PIX-HED-RET,TIPODEPESSOARECEBEDOR,TIPO DE PESSOA RECEBEDOR,35,36,2,9,
PIX-HED-RET,CPFCNPJ,CPF CNPJ DO USUARIO RECEBEDOR,37,50,14,9,
PIX-HED-RET,AGENCIA,AGÊNCIA DO USUARIO RECEBEDOR,51,54,4,9,
PIX-HED-RET,CONTA,CONTA USUÁRIO RECEBEDOR,55,74,20,9,
PIX-HED-RET,TIPOCONTA,TIPO CONTA USUÁRIO RECEBEDOR,75,78,4,X,
PIX-HED-RET,CHAVEPIX,CHAVE PIX,79,155,77,X,
PIX-HED-RET,DATADEGERACAO,DATA DE GERAÇÃO DO ARQUIVO,156,163,8,9,
PIX-HED-RET,CODIGODOCONVENIO,CÓDIGO DO CONVENIO,164,193,30,X,
PIX-HED-RET,EXCLUSIVOPSPRECEBEDOR,EXCLUSIVO PSP RECEBEDOR,194,253,60,X,
PIX-HED-RET,NOMEDORECEBEDOR,NOME FANTASIA/RAZÃO SOCIAL DO RECEBEDOR,254,353,100,X,
PIX-HED-RET,CODIGOSDEERRO,CÓDIGOS DE ERRO,354,383,30,X,
PIX-HED-RET,BRANCOS,BRANCOS,384,731,348,X,
PIX-HED-RET,NUMEROSEQUENCIALDORETORNO,NUMERO SEQUENCIAL DO RETORNO DO ARQUIVO,732,741,10,9,
PIX-HED-RET,VERSAODOARQUIVO,VERSÃO DO LAYOUT DO ARQUIVO,742,744,3,9,002
PIX-HED-RET,NUMEROSEQUENCIALDOREGISTRO,NÚMERO SEQUENCIAL DO REGISTRO,745,750,6,9,
PIX-DET-RET,TIPODEREGISTRO,IDENTIFICAÇÃO DO REGISTRO TRANSAÇÃO,1,1,1,9,1
PIX-DET-RET,IDENTIFICADOR,TRANSACTION ID (TXID),2,36,35,X,
PIX-DET-RET,TIPODEPESSOARECEBEDOR,TIPO DE PESSOA RECEBEDOR,37,38,2,9,
PIX-DET-RET,CPFCNPJ,CPF CNPJ DO USUARIO RECEBEDOR,39,52,14,9,
PIX-DET-RET,AGENCIA,AGÊNCIA DO USUARIO RECEBEDOR,53,56,4,9,
PIX-DET-RET,CONTA,CONTA USUÁRIO RECEBEDOR,57,76,20,9,
PIX-DET-RET,TIPO,TIPO CONTA USUÁRIO RECEBEDOR,77,80,4,X,
PIX-DET-RET,CHAVEPIX,CHAVE PIX,81,157,77,X,
PIX-DET-RET,TIPOCOBRANCA,TIPO COBRANÇA,158,158,1,X,
PIX-DET-RET,CODDOMOVIMENTO,IDENTIFICAÇÃO DO MOVIMENTO RETORNADO,159,160,2,9,
PIX-DET-RET,TIMESTAMPEXPIRACAO,TEMPO DE EXPIRAÇÃO DO QRCODE,161,174,14,9,
PIX-DET-RET,DATADEVENCIMENTO,DATA DE VENCIMENTO DO PAGAMENTO,175,182,8,9,
PIX-DET-RET,VALIDADEAPOSVENCIMENTO,VALIDADE DO QR CODE APÓS O VENCIMENTO,183,186,4,9,
PIX-DET-RET,VALORORIGINAL,VALOR ORIGINAL DO DOCUMENTO,187,203,17,V2,
PIX-DET-RET,TIPODEPESSOADEVEDOR,TIPO DE PESSOA DEVEDOR,204,205,2,9,
PIX-DET-RET,CPFCNPJDEVEDOR,CPF CNPJ DO USUÁRIO DEVEDOR,206,219,14,9,
PIX-DET-RET,NOMEDEVEDOR,NOME DEVEDOR USUÁRIO,220,359,140,X,
PIX-DET-RET,SOLICITACAOAOPAGADOROUCAMPOTEXTOLIVRE,SOLICITAÇÃO AO PAGADOR (DINÂMICO) OU CAMPO TEXTO LIVRE PARA ESTÁTICO,360,499,140,X,
PIX-DET-RET,EXCLUSIVOPSPRECEBEDOR,EXCLUSIVO PSP RECEBEDOR,500,559,60,X,
PIX-DET-RET,DATADEMOVIMENTO,DATA DO MOVIMENTO RETORNADO,560,567,8,9,
PIX-DET-RET,CODIGOSDEERRO,CÓDIGOS DE ERRO DOS COMANDOS REJEITADOS,568,597,30,X,
PIX-DET-RET,REVISAO,REVISÃO,598,601,4,9,
PIX-DET-RET,ZEROS,ZEROS,602,618,17,V2,
PIX-DET-RET,BRANCOS,BRANCOS,619,744,126,X,
PIX-DET-RET,NUMEROSEQUENCIAL,NÚMERO SEQUENCIAL DO REGISTRO,745,750,6,9,
PIX-ADD-RET,TIPODEREGISTRO,IDENTIFICAÇÃO DO REGISTRO TRANSAÇÃO,1,1,1,9,2
PIX-ADD-RET,IDENTIFICADOR,TRANSACTION ID (TXID),2,36,35,X,
PIX-ADD-RET,NOME1,NOME DO CAMPO,37,86,50,X,
PIX-ADD-RET,VALOR1,CONTEÚDO DO CAMPO,87,286,200,X,
PIX-ADD-RET,NOME2,NOME DO CAMPO,287,336,50,X,
PIX-ADD-RET,VALOR2,CONTEÚDO DO CAMPO,337,536,200,X,
PIX-ADD-RET,BRANCOS,BRANCOS,537,744,208,X,
PIX-ADD-RET,NUMEROSEQUENCIAL,NÚMERO SEQUENCIAL DO REGISTRO,745,750,6,9,
PIX-EMV-RET,TIPODEREGISTRO,IDENTIFICAÇÃO DO REGISTRO TRANSAÇÃO,1,1,1,9,4
PIX-EMV-RET,IDENTIFICADOR,TRANSACTION ID (TXID),2,36,35,X,
PIX-EMV-RET,CHAVEPIX,CHAVE PIX,37,113,77,X,
PIX-EMV-RET,CODDEMOVIMENTO,IDENTIFICAÇÃO DO MOVIMENTO RETORNADO,114,115,2,9,
PIX-EMV-RET,DATADEMOVIMENTO,DATA DO MOVIMENTO RETORNADO,116,123,8,9,
PIX-EMV-RET,EMVDOQRCODE,EMV DO QRCODE,124,623,500,X,
PIX-EMV-RET,LOCATION,LINK PARA PAYLOAD JSON (URL),624,700,77,X,
PIX-EMV-RET,BRANCOS,BRANCOS,701,744,44,X,
PIX-EMV-RET,NUMEROSEQUENCIAL,NÚMERO SEQÜENCIAL DO REGISTRO NO ARQUIVO,745,750,6,9,
PIX-LIQ-RET,TIPODEREGISTRO,IDENTIFICAÇÃO DO REGISTRO TRANSAÇÃO,1,1,1,9,5
PIX-LIQ-RET,IDENTIFICADOR,TRANSACTION ID (TXID),2,36,35,X,
PIX-LIQ-RET,ISPBPARTICIPANTE,PSP DO USUARIO RECEBEDOR,37,44,8,X,
PIX-LIQ-RET,TIPODEPESSOA,TIPO DE PESSOA RECEBEDOR,45,46,2,9,
PIX-LIQ-RET,CPFCNPJ,CPF CNPJ DO USUARIO RECEBEDOR,47,60,14,9,
PIX-LIQ-RET,AGENCIA,AGÊNCIA DO USUARIO RECEBEDOR,61,64,4,9,
PIX-LIQ-RET,CONTA,CONTA USUÁRIO RECEBEDOR,65,84,20,9,
PIX-LIQ-RET,TIPOCONTA,TIPO CONTA USUÁRIO RECEBEDOR,85,88,4,X,
PIX-LIQ-RET,CHAVEPIX,CHAVE PIX,89,165,77,X,
PIX-LIQ-RET,TIPOCOBRANCA,TIPO COBRANÇA,166,166,1,X,
PIX-LIQ-RET,CODDOMOVIMENTO,IDENTIFICAÇÃO DO MOVIMENTO RETORNADO,167,168,2,9,
PIX-LIQ-RET,DATADOMOVIMENTO,DATA DO MOVIMENTO RETORNADO,169,176,8,9,
PIX-LIQ-RET,DATADEVENCIMENTO,DATA DE VENCIMENTO DO PAGAMENTO,177,184,8,9,
PIX-LIQ-RET,TIMESTAMPDOPAGAMENTO,TIMESTAMP DO PAGAMENTO,185,198,14,9,
PIX-LIQ-RET,VALORORIGINAL,VALOR ORIGINAL DO DOCUMENTO,199,215,17,V2,
PIX-LIQ-RET,VALORJUROS,VALOR DE JUROS PAGOS PELO PAGADOR,216,232,17,V2,
PIX-LIQ-RET,VALORMULTA,VALOR DA MULTA PAGA PELO PAGADOR,233,249,17,V2,
PIX-LIQ-RET,VALORABATIMENTO,VALOR DO ABATIMENTO,250,266,17,V2,
PIX-LIQ-RET,VALORDESCONTO,VALOR DO DESCONTO CONCEDIDO,267,283,17,V2,
PIX-LIQ-RET,VALORFINAL,VALOR CALCULADO PARA PAGAMENTO,284,300,17,V2,
PIX-LIQ-RET,VALORPAGO,VALOR LANÇADO EM CONTA CORRENTE,301,317,17,V2,
PIX-LIQ-RET,TIPODEPESSOADEVEDOR,TIPO DE PESSOA DEVEDOR CADASTRADO,318,319,2,9,
PIX-LIQ-RET,CPFCNPJDEVEDOR,CPF CNPJ DO DEVEDOR CADASTRADO NA GERAÇÃO DO QRCODE,320,333,14,9,
PIX-LIQ-RET,TIPODEPESSOAPAGADORFINAL,TIPO DE PESSOA DO CLIENTE QUE EFETUOU O PAGAMENTO,334,335,2,9,
PIX-LIQ-RET,CPFCNPJPAGADORFINAL,CPF CNPJ DO CLIENTE QUE EFETUOU O PAGAMENTO,336,349,14,9,
PIX-LIQ-RET,NOMEPAGADORFINAL,NOME CLIENTE QUE EFETUOU O PAGAMENTO,350,489,140,X,
PIX-LIQ-RET,MENSAGEMPAGADORFINAL,MENSAGEM ENVIADA PELO CLIENTE QUE EFETUOU O PAGAMENTO,490,629,140,X,
PIX-LIQ-RET,BRANCOS,BRANCOS,630,631,2,X,
PIX-LIQ-RET,ENDTOENDID,NÚMERO ÚNICO DE IDENTIFICAÇÃO DOS RECEBIMENTOS,632,663,32,X,
PIX-LIQ-RET,REVISAO,REVISÃO,664,667,4,9,
PIX-LIQ-RET,DATACONTABIL,DATA DO MOVIMENTO NO EXTRATO,668,675,8,X,
PIX-LIQ-RET,OPERACAODECREDITO,IDENTIFICAÇÃO DE QUE A OPERAÇÃO É DE CRÉDITO OU NÃO,676,676,1,X,
PIX-LIQ-RET,MODALIDADEDEOPERACAO,SE A MODALIDADE SOLICITADA É GARANTIA OU ANTECIPAÇÃO DE CRÉDITO,677,677,1,X,
PIX-LIQ-RET,AGENCIADECREDITO,AGÊNCIA,678,681,4,X,
PIX-LIQ-RET,CONTADECREDITO,CONTA,682,688,6,X,
PIX-LIQ-RET,DIGITOVERIFICADORDACONTADECREDITO,DIGITO VERIFICADOR DA CONTA,689,689,1,X,
PIX-LIQ-RET,EXCLUSIVOPSPRECEBEDOR,EXCLUSIVO PSP RECEBEDOR,690,727,52,X,
PIX-LIQ-RET,TARIFADECOBRANCA,VALOR DA TARIFA,728,744,17,X,
PIX-LIQ-RET,NUMEROSEQUENCIAL,NÚMERO SEQÜENCIAL DO REGISTRO NO ARQUIVO,745,750,6,9,
PIX-TRA-RET,TIPODEREGISTRO,IDENTIFICAÇÃO DO REGISTRO TRANSAÇÃO,1,1,1,9,9
PIX-TRA-RET,CODIGODERETORNO,IDENTIFICAÇÃO DE ARQUIVO RETORNO,2,2,1,9,2
PIX-TRA-RET,CODIGODESERVICO,IDENTIFICAÇÃO DO TIPO DE SERVIÇO,3,4,2,9,02
PIX-TRA-RET,ISPB,ISPB,5,12,8,X,
PIX-TRA-RET,CODIGOSDEERRO,CÓDIGOS DE ERRO,13,42,30,X,
PIX-TRA-RET,BRANCOS,BRANCOS,43,712,670,X,
PIX-TRA-RET,VALORTOTAL,VALOR TOTAL DOS REGISTROS,713,729,17,V2,
PIX-TRA-RET,QTDEDEDETALHES,QUANTIDADE DE REGISTROS DE TRANSAÇÃO,730,744,15,9,
PIX-TRA-RET,NUMEROSEQUENCIAL,NÚMERO SEQÜENCIAL DO REGISTRO NO ARQUIVO,745,750,6,9,
